category,display_name,shortcode,filename
Chat Essentials,"Salt Coin",:salt-coin:,png/chat-essentials/salt-coin.png
Chat Essentials,"Salt Coins",:salt-coins:,png/chat-essentials/salt-coins.png
Chat Essentials,"Flying Money",:flying-money:,png/chat-essentials/flying-money.png
Chat Essentials,"Treasure",:treasure:,png/chat-essentials/treasure.png
Chat Essentials,"Rare Salt Crystal",:salt-crystal-rare:,png/chat-essentials/salt-crystal-rare.png
Chat Essentials,"Broke",:broke:,png/chat-essentials/broke.png
Chat Essentials,"Time",:time:,png/chat-essentials/time.png
Chat Essentials,"Calendar",:calendar:,png/chat-essentials/calendar.png
Chat Essentials,"Location",:location:,png/chat-essentials/location.png
Chat Essentials,"Dawn Patrol",:dawn-patrol:,png/chat-essentials/dawn-patrol.png
Chat Essentials,"Night Surf",:night-surf:,png/chat-essentials/night-surf.png
Chat Essentials,"Surf Car",:surf-car:,png/chat-essentials/surf-car.png
Chat Essentials,"Photo",:photo:,png/chat-essentials/photo.png
Chat Essentials,"Video",:video:,png/chat-essentials/video.png
Chat Essentials,"Play",:play:,png/chat-essentials/play.png
Chat Essentials,"Music",:music:,png/chat-essentials/music.png
Chat Essentials,"Headphones",:headphones:,png/chat-essentials/headphones.png
Chat Essentials,"Wave Trophy",:wave-trophy:,png/chat-essentials/wave-trophy.png
Chat Essentials,"Party",:party:,png/chat-essentials/party.png
Chat Essentials,"Birthday",:birthday:,png/chat-essentials/birthday.png
Chat Essentials,"Gift",:gift:,png/chat-essentials/gift.png
Chat Essentials,"Cheers",:cheers:,png/chat-essentials/cheers.png
Chat Essentials,"Coffee",:coffee:,png/chat-essentials/coffee.png
Chat Essentials,"Pizza",:pizza:,png/chat-essentials/pizza.png
